系统名称,英文简称,系统状态状态
,,
企业网银,CIB,运行中
在线供应链融资,SCFS,运行中
同业,IAM,运行中
在线存款,DPMK,运行中
智慧线上贷款,SOFP,运行中
新移动银行,MBANK,运行中
公民联网核查,PICS,运行中
信贷管理,ALS,运行中
微信银行,WXS,运行中
数字证书,RAS,运行中
开放平台,HOP,运行中
账户管家,UACC,运行中
黑名单,BMMS,运行中
消息管理平台,MSMP,运行中
统一影像平台,MFPS,运行中
外部数据接入平台,EDMP,运行中
新企业服务总线,NESB,运行中
征信二代查询前置,MBTQ,运行中
渠道中台,CMP,运行中
客户信息管理,ECIF,运行中
贷款核算,ULCA,运行中
交易反欺诈,ATFRD,运行中
零售信贷前台,RCR,运行中
融资中台,CLMP,运行中
在线保险销售,OIS,运行中
支付中台,EPAY,运行中
公司信贷前台,CCR,运行中
授信反欺诈平台,CAFP,运行中
电子档案管理,EAMS,运行中
票据交易,NBMS,运行中
汽车信贷前台,ACR,运行中
企业移动银行,CMBANK,运行中
新特征工场,NFES,运行中
智能柜员,STM,运行中
银联电子渠道整合,ECIS,运行中
卡数据准备,DPS,运行中
人民币跨境收付,RCFE,运行中
自贸区资金监测,FTZMIS,运行中
集中申报平台,DARS,运行中
查控反欺诈,PSS,运行中
基础数据报送平台,RBDS,运行中
增值税管理,VAT,运行中
银企对账,CASS,运行中
证件影像识别,OCRC,运行中
人脸识别,FRC,运行中
监管报送平台,BARS,运行中
模型实验室,MLS,运行中
利率定价,IRPS,运行中
财务管理,NCFM,运行中
银行账户服务信息,ASIS,运行中
风险数据集市,MRT,运行中
二代货币发行管理,HF2,运行中
影像文件智能识别,OCRF,运行中
资产负债,ALM,运行中
区块链在线存证,BLKCH,运行中
股东股权与关联交易管理,SERT,运行中
企业信息联网核查,MIVS,运行中
供应链智能管理,SCIM,运行中
风险分析平台,RAP,运行中
二代企业征信报送,ECR2,运行中
智慧社区,DCMS,运行中
成本分摊及盈利分析,CAPA,运行中
管理会计集市,MAS,运行中
外部数据集市,EDMK,运行中
认证鉴权,CEAS,运行中
二代个人征信报送,ICR2,运行中
反洗钱监测与分析,AMLMA,运行中
对公客户经理移动平台,CCMP,运行中
多方安全计算,SMPC,运行中
模型管理平台,RMMS,运行中
邮件,MAIL,运行中
华瑞官网,HRGW,运行中
非现场审计,SJS,运行中
办公自动化,OAS,运行中
监管数据集市,IDM,运行中
数据中台,DMP,运行中
办公电子签章,OES,运行中
智能外呼,AIOB,运行中
人力管理系统,OPMS,运行中
开发运维一体化,DEVOPS,运行中
二代央行企业评级报送,IRS2,运行中
签约平台,SEAL,运行中
智能报销,IRBS,运行中
用户行为事件采集与分析,UBAS,运行中
数据和商业分析,DBAS,运行中
智能营销,MPS,运行中
内容管理,CMS,运行中
投放管理,ADMS,运行中
客户数据与营销自动化,CDPMA,运行中
远程银行,RBANK,运行中
新综合柜面,NITS,运行中
统一支付,UPPS,运行中
一表通,YBT,运行中
贷后管理,PLMS,运行中
押品管理,UCMS,运行中
新催收,NDCS,运行中
客户流水解析系统,ALA,运行中
统一集中账户管理系统,UCAM,运行中
客户关系管理,CRM,运行中
统一卸数平台,DDP,运行中
绩效管理,PMS,运行中
统一作业调度,UJS,运行中
移动信贷,MCL,运行中
综合信贷,CCS,运行中
印控一体化,MFP,运行中
面部风险特征,FARF,待整合
营销中台,MMP,待整合
新加密平台,NFCS,运行中
新一代核心,CBS,运行中
交易级总账,TGL,运行中
企业资金流信息,FDS,实施中
AI中台,AIM,实施中
智能保险柜,SSB,实施中
监管报送一体化平台,SUPR,实施中
知识图谱平台,KGP,运行中
新电子验印,ESVS,实施中
身份核验,IDV,实施中
数据慧眼,DSE,实施中
治理风险合规系统,GRC,实施中
财富管理平台,WMP,实施中
新非现场审计系统,KBOS,实施中
